,Feature_ID,Name,Description,Diameter,Center_Lon,Center_Lat,Type,USGS,Wikipedia
,3264,Landau,,218.15,-119.34,42.16,"Crater, craters",http://planetarynames.wr.usgs.gov/Feature/3264,https://www.wikipedia.org/wiki/Landau_(crater)
,684,Bel'kovich,,215.08,90.15,61.53,"Crater, craters",http://planetarynames.wr.usgs.gov/Feature/684,https://www.wikipedia.org/wiki/Bel'kovich_(crater)
,4770,Poczobutt,,212.36,-99.23,57.27,"Crater, craters",http://planetarynames.wr.usgs.gov/Feature/4770,https://www.wikipedia.org/wiki/Poczobutt_(crater)
,5368,Schickard,,212.18,-55.11,-44.38,"Crater, craters",http://planetarynames.wr.usgs.gov/Feature/5368,https://www.wikipedia.org/wiki/Schickard_(crater)
,5389,Schwarzschild,,211.42,121.57,70.08,"Crater, craters",http://planetarynames.wr.usgs.gov/Feature/5389,https://www.wikipedia.org/wiki/Schwarzschild_(crater)
,4480,Oppenheimer,,201.16,-166.03,-35.32,"Crater, craters",http://planetarynames.wr.usgs.gov/Feature/4480,https://www.wikipedia.org/wiki/Oppwww.eimer_(crater)
,2800,Janssen,,200.65,40.82,-44.96,"Crater, craters",http://planetarynames.wr.usgs.gov/Feature/2800,https://www.wikipedia.org/wiki/Jansswww.(crater)
,2582,Humboldt,,199.46,80.96,-27.02,"Crater, craters",http://planetarynames.wr.usgs.gov/Feature/2582,https://www.wikipedia.org/wiki/Humboldt_(crater)
,6711,Zeeman,,186.56,-135.06,-75.07,"Crater, craters",http://planetarynames.wr.usgs.gov/Feature/6711,https://www.wikipedia.org/wiki/Zeeman_(crater)
,6440,Von Kármán,,186.35,176.25,-44.45,"Crater, craters",http://planetarynames.wr.usgs.gov/Feature/6440,https://www.wikipedia.org/wiki/Von Kármán_(crater)
,6108,Tsiolkovskiy,,184.39,128.97,-20.38,"Crater, craters",http://planetarynames.wr.usgs.gov/Feature/6108,https://www.wikipedia.org/wiki/Tsiolkovskiy_(crater)
,4668,Petavius,,184.06,60.78,-25.39,"Crater, craters",http://planetarynames.wr.usgs.gov/Feature/4668,https://www.wikipedia.org/wiki/Petavius_(crater)
,3625,Mandel'shtam,,181.89,162.39,5.7,"Crater, craters",http://planetarynames.wr.usgs.gov/Feature/3625,https://www.wikipedia.org/wiki/Mandel'shtam_(crater)
,1745,Einstein,,181.47,-88.65,16.6,"Crater, craters",http://planetarynames.wr.usgs.gov/Feature/1745,https://www.wikipedia.org/wiki/Einstein_(crater)
